Company,TypeName,Ram,Weight,Price,Cpu_brand,Gpu_brand,Os,avg_battery_health,avg_daily_usage,avg_charging_cycles
apple,Ultrabook,8,1.37,11.175754549129524,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
apple,Ultrabook,8,1.34,10.77677731765335,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
hp,Notebook,8,1.86,10.329931067029484,Intel Core i5,Intel,Others,80.77777777777777,5.333333333333333,504.44444444444446
apple,Ultrabook,16,1.83,11.814475944954545,Intel Core i7,AMD,Mac,89.55555555555556,7.111111111111111,408.8888888888889
apple,Ultrabook,8,1.37,11.473100972779063,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
acer,Notebook,4,2.1,9.967025573340116,AMD Processor,AMD,Windows,79.25,5.875,531.25
apple,Ultrabook,16,2.04,11.64410811545818,Intel Core i7,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
apple,Ultrabook,8,1.34,11.03061499223515,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
asus,Ultrabook,16,1.3,11.28544251205692,Intel Core i7,Nvidia,Windows,70.125,8.125,691.25
acer,Ultrabook,8,1.6,10.621951541079865,Intel Core i5,Intel,Windows,79.25,5.875,531.25
hp,Notebook,4,1.86,9.951658096208996,Intel Core i5,Intel,Others,80.77777777777777,5.333333333333333,504.44444444444446
hp,Notebook,4,1.86,9.81907645733616,Intel Core i3,Intel,Others,80.77777777777777,5.333333333333333,504.44444444444446
apple,Ultrabook,16,1.83,11.775302049361828,Intel Core i7,AMD,Mac,89.55555555555556,7.111111111111111,408.8888888888889
dell,Notebook,4,2.2,10.187966701099125,Intel Core i3,AMD,Windows,80.875,6.625,503.75
apple,Ultrabook,8,0.92,11.116330976323743,Other Intel Processor,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
apple,Ultrabook,8,1.37,11.301072237406668,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
dell,Notebook,8,2.2,10.588945244611692,Intel Core i7,AMD,Windows,80.875,6.625,503.75
apple,Ultrabook,16,1.83,11.933438384721946,Intel Core i7,AMD,Mac,89.55555555555556,7.111111111111111,408.8888888888889
lenovo,Notebook,8,2.2,10.188167121983652,Intel Core i3,Nvidia,Others,79.125,6.625,536.25
dell,Ultrabook,8,1.22,10.862092668762644,Intel Core i5,Intel,Windows,80.875,6.625,503.75
asus,Netbook,2,0.98,9.232535429245788,Other Intel Processor,Intel,Windows,70.125,8.125,691.25
lenovo,Gaming,8,2.5,10.882315804880689,Intel Core i5,Nvidia,Windows,79.125,6.625,536.25
hp,Notebook,4,1.86,9.528520611153752,AMD Processor,AMD,Others,80.77777777777777,5.333333333333333,504.44444444444446
dell,2 in 1 Convertible,8,1.62,10.683645110085203,Intel Core i5,Intel,Windows,80.875,6.625,503.75
hp,Ultrabook,8,1.91,10.46628456073464,Intel Core i7,Intel,Windows,80.77777777777777,5.333333333333333,504.44444444444446
dell,Notebook,4,2.3,10.012572388296086,Intel Core i3,Intel,Windows,80.875,6.625,503.75
apple,Ultrabook,8,1.35,10.977716980635757,Intel Core i5,Intel,Mac,89.55555555555556,7.111111111111111,408.8888888888889
